speciesID,group,family,genus,species,scientificName,commonName,decimalLatitude,decimalLongitude,date,status,recordType,freshMarineIntro,waterbody
843,Fishes,Poeciliidae,Belonesox,belizanus,Belonesox belizanus,Pike Killifish,27.88806,-82.39697,2016-08-10,established,NAS sighting report,Brackish-Freshwater,HB
843,Fishes,Poeciliidae,Belonesox,belizanus,Belonesox belizanus,Pike Killifish,27.88806,-82.39697,2016-08-24,established,NAS sighting report,Brackish-Freshwater,HB
227,Plants,Amaranthaceae,Alternanthera,philoxeroides,Alternanthera philoxeroides,alligatorweed,27.92285,-82.39833,2023-02-08,,Literature,,HB
869,Fishes,Poeciliidae,Xiphophorus,hellerii,Xiphophorus hellerii,Green Swordtail,27.93524,-82.40717,2024-08-18,,Literature,,HB
57,Amphibians,Hylidae,Osteopilus,septentrionalis,Osteopilus septentrionalis,Cuban Treefrog,27.94316,-82.4018,2015-07-13,established,Literature,Freshwater,HB
296,Plants,Pteridaceae,Ceratopteris,thalictroides,Ceratopteris thalictroides,watersprite,27.94847,-82.41081,2022-10-05,,Literature,,HB
57,Amphibians,Hylidae,Osteopilus,septentrionalis,Osteopilus septentrionalis,Cuban Treefrog,27.5143,-82.64171,2019-02-19,established,Literature,Freshwater,LTB
1261,Reptiles,Emydidae,Trachemys,scripta,Trachemys scripta,Red-eared Slider,27.52163,-82.64453,2022-07-19,,Literature,,LTB
110,Mollusks,Mytilidae,Perna,viridis,Perna viridis,green mussel,27.5268,-82.6417,2000-07-25,established,Personal communication,Marine,LTB
110,Mollusks,Mytilidae,Perna,viridis,Perna viridis,green mussel,27.5306,-82.6507,2000-07-25,established,Personal communication,Marine,LTB
477,Fishes,Cichlidae,Sarotherodon,melanotheron,Sarotherodon melanotheron,Blackchin Tilapia,27.5342,-82.62675,2021-03-28,,Literature,,LTB
110,Mollusks,Mytilidae,Perna,viridis,Perna viridis,green mussel,27.5637,-82.6466,2000-06-17,established,Personal communication,Marine,LTB
477,Fishes,Cichlidae,Sarotherodon,melanotheron,Sarotherodon melanotheron,Blackchin Tilapia,27.59114,-82.64008,2022-02-02,,Literature,,LTB
110,Mollusks,Mytilidae,Perna,viridis,Perna viridis,green mussel,27.5953,-82.6344,2001-12-12,established,Personal communication,Marine,LTB
110,Mollusks,Mytilidae,Perna,viridis,Perna viridis,green mussel,27.608105,-82.6474,2000-07-12,established,Personal communication,Marine,LTB
110,Mollusks,Mytilidae,Perna,viridis,Perna viridis,green mussel,27.5176,-82.6189,2000-07-25,established,Personal communication,Marine,LTB
110,Mollusks,Mytilidae,Perna,viridis,Perna viridis,green mussel,27.545111,-82.623711,2000-08-15,established,Personal communication,Marine,LTB
463,Fishes,Cichlidae,Oreochromis,aureus,Oreochromis aureus,Blue Tilapia,27.67329,-82.62393,2005-05-07,,Literature,,LTB
1130,Plants,Pontederiaceae,Eichhornia,crassipes,Eichhornia crassipes,common water-hyacinth,27.77024,-82.62221,2006-02-19,,Literature,,MTB
110,Mollusks,Mytilidae,Perna,viridis,Perna viridis,green mussel,27.7732,-82.6218,2001-09-17,established,Personal communication,Marine,MTB
61,Amphibians,Eleutherodactylidae,Eleutherodactylus,planirostris,Eleutherodactylus planirostris,Greenhouse Frog,27.79156,-82.61296,2018-05-06,established,Literature,Freshwater,MTB
963,Fishes,Scorpaenidae,Pterois,volitans/miles,Pterois volitans/miles,lionfish,27.65099,-82.6704,2014-10-10,established,Literature,Marine,LTB
2788,Fishes,Cichlidae,Oreochromis,sp.,Oreochromis sp.,tilapia,27.71318,-82.65236,2020-08-13,,Literature,,LTB
2552,Reptiles,Pythonidae,Python,bivittatus,Python bivittatus,Burmese Python,27.71589,-82.66476,2012-03-18,,Literature,,LTB
1130,Plants,Pontederiaceae,Eichhornia,crassipes,Eichhornia crassipes,common water-hyacinth,27.72744,-82.6529,2020-12-06,,Literature,,MTB
1130,Plants,Pontederiaceae,Eichhornia,crassipes,Eichhornia crassipes,common water-hyacinth,27.72924,-82.65121,2020-09-22,,Literature,,MTB
2788,Fishes,Cichlidae,Oreochromis,sp.,Oreochromis sp.,tilapia,27.72942,-82.65086,2020-04-19,,Literature,,MTB
1130,Plants,Pontederiaceae,Eichhornia,crassipes,Eichhornia crassipes,common water-hyacinth,27.72954,-82.65123,2020-11-08,,Literature,,MTB
1047,Mollusks,Viviparidae,Viviparus,georgianus,Viviparus georgianus,banded mysterysnail,27.733,-82.6556,2000-02-23,,Specimen,Freshwater,MTB
57,Amphibians,Hylidae,Osteopilus,septentrionalis,Osteopilus septentrionalis,Cuban Treefrog,27.71275,-82.63755,2019-05-20,,Literature,,MTB
477,Fishes,Cichlidae,Sarotherodon,melanotheron,Sarotherodon melanotheron,Blackchin Tilapia,27.71752,-82.64283,2022-07-09,,Literature,,MTB
477,Fishes,Cichlidae,Sarotherodon,melanotheron,Sarotherodon melanotheron,Blackchin Tilapia,27.71842,-82.63845,2022-07-10,,Literature,,MTB
463,Fishes,Cichlidae,Oreochromis,aureus,Oreochromis aureus,Blue Tilapia,27.71855,-82.63829,2022-07-10,,Literature,,MTB
453,Fishes,Cichlidae,Cichlasoma,urophthalma,Cichlasoma urophthalma,Mayan Cichlid,27.71857,-82.63818,2022-07-10,,Literature,,MTB
110,Mollusks,Mytilidae,Perna,viridis,Perna viridis,green mussel,27.7222,-82.6268,2000-02-21,established,Personal communication,Marine,MTB
1130,Plants,Pontederiaceae,Eichhornia,crassipes,Eichhornia crassipes,common water-hyacinth,27.72445,-82.6499,2020-11-27,,Literature,,MTB
463,Fishes,Cichlidae,Oreochromis,aureus,Oreochromis aureus,Blue Tilapia,27.72445,-82.6499,2017-03-02,,Literature,,MTB
297,Plants,Salviniaceae,Salvinia,minima,Salvinia minima,water spangles,27.72581,-82.64923,2022-10-08,,Literature,,MTB
477,Fishes,Cichlidae,Sarotherodon,melanotheron,Sarotherodon melanotheron,Blackchin Tilapia,27.72595,-82.64939,2022-04-20,,Literature,,MTB
227,Plants,Amaranthaceae,Alternanthera,philoxeroides,Alternanthera philoxeroides,alligatorweed,27.72614,-82.6486,2022-10-08,,Literature,,MTB
477,Fishes,Cichlidae,Sarotherodon,melanotheron,Sarotherodon melanotheron,Blackchin Tilapia,27.72618,-82.64918,2022-04-20,,Literature,,MTB
2954,Plants,Onagraceae,Ludwigia,peruviana,Ludwigia peruviana,Peruvian primrose-willow,27.72643,-82.64875,2020-01-23,established,Literature,Freshwater,MTB
297,Plants,Salviniaceae,Salvinia,minima,Salvinia minima,water spangles,27.72725,-82.65045,2022-09-15,,Literature,,MTB
297,Plants,Salviniaceae,Salvinia,minima,Salvinia minima,water spangles,27.72736,-82.65068,2021-12-26,,Literature,,MTB
1130,Plants,Pontederiaceae,Eichhornia,crassipes,Eichhornia crassipes,common water-hyacinth,27.72755,-82.65046,2020-11-04,,Literature,,MTB
297,Plants,Salviniaceae,Salvinia,minima,Salvinia minima,water spangles,27.72755,-82.65057,2022-03-16,,Literature,,MTB
297,Plants,Salviniaceae,Salvinia,minima,Salvinia minima,water spangles,27.72767,-82.6506,2020-09-22,,Literature,,MTB
1130,Plants,Pontederiaceae,Eichhornia,crassipes,Eichhornia crassipes,common water-hyacinth,27.72896,-82.65058,2020-12-15,,Literature,,MTB
463,Fishes,Cichlidae,Oreochromis,aureus,Oreochromis aureus,Blue Tilapia,27.72933,-82.65071,2015-04-14,,Literature,,MTB
1130,Plants,Pontederiaceae,Eichhornia,crassipes,Eichhornia crassipes,common water-hyacinth,27.72938,-82.65037,2018-10-17,,Literature,,MTB
1130,Plants,Pontederiaceae,Eichhornia,crassipes,Eichhornia crassipes,common water-hyacinth,27.72951,-82.65077,2020-07-17,,Literature,,MTB
297,Plants,Salviniaceae,Salvinia,minima,Salvinia minima,water spangles,27.72958,-82.65025,2022-08-20,,Literature,,MTB
486,Fishes,Clariidae,Clarias,batrachus,Clarias batrachus,Walking Catfish,27.73175,-82.64837,2023-05-04,established,Specimen,Freshwater,MTB
2788,Fishes,Cichlidae,Oreochromis,sp.,Oreochromis sp.,tilapia,27.73175,-82.64837,2023-05-04,established,Specimen,Freshwater,MTB
770,Fishes,Loricariidae,Pterygoplichthys,sp.,Pterygoplichthys sp.,sailfin armored catfish,27.73175,-82.64837,2023-05-04,established,Specimen,Freshwater,MTB
767,Fishes,Loricariidae,Pterygoplichthys,disjunctivus,Pterygoplichthys disjunctivus,Vermiculated Sailfin Catfish,27.7319,-82.64908,2000-03-01,,Literature,,MTB
463,Fishes,Cichlidae,Oreochromis,aureus,Oreochromis aureus,Blue Tilapia,27.7319,-82.64908,2000-03-01,,Literature,,MTB
